Data Source,World Development Indicators,,,
,,,,
El Salvador,SLV,Military expenditure (current USD),MS.MIL.XPND.CD,317200000
San Marino,SMR,Military expenditure (current USD),MS.MIL.XPND.CD,
Somalia,SOM,Military expenditure (current USD),MS.MIL.XPND.CD,77535000
Serbia,SRB,Military expenditure (current USD),MS.MIL.XPND.CD,1143779270
Sub-Saharan Africa (excluding high income),SSA,Military expenditure (current USD),MS.MIL.XPND.CD,17868153462
South Sudan,SSD,Military expenditure (current USD),MS.MIL.XPND.CD,186498925.2
Sub-Saharan Africa,SSF,Military expenditure (current USD),MS.MIL.XPND.CD,17891649717
Small states,SST,Military expenditure (current USD),MS.MIL.XPND.CD,5395632068
Sao Tome and Principe,STP,Military expenditure (current USD),MS.MIL.XPND.CD,
Suriname,SUR,Military expenditure (current USD),MS.MIL.XPND.CD,
Slovak Republic,SVK,Military expenditure (current USD),MS.MIL.XPND.CD,1802507837
Slovenia,SVN,Military expenditure (current USD),MS.MIL.XPND.CD,572884012.5
Sweden,SWE,Military expenditure (current USD),MS.MIL.XPND.CD,5839555791
Eswatini,SWZ,Military expenditure (current USD),MS.MIL.XPND.CD,86532285.97
Sint Maarten (Dutch part),SXM,Military expenditure (current USD),MS.MIL.XPND.CD,
Seychelles,SYC,Military expenditure (current USD),MS.MIL.XPND.CD,23496255.12
Syrian Arab Republic,SYR,Military expenditure (current USD),MS.MIL.XPND.CD,
Turks and Caicos Islands,TCA,Military expenditure (current USD),MS.MIL.XPND.CD,
Chad,TCD,Military expenditure (current USD),MS.MIL.XPND.CD,234709655
East Asia & Pacific (IDA & IBRD countries),TEA,Military expenditure (current USD),MS.MIL.XPND.CD,2.66E+11
Europe & Central Asia (IDA & IBRD countries),TEC,Military expenditure (current USD),MS.MIL.XPND.CD,1.18E+11
Togo,TGO,Military expenditure (current USD),MS.MIL.XPND.CD,170566832.4
Thailand,THA,Military expenditure (current USD),MS.MIL.XPND.CD,7286122371
Tajikistan,TJK,Military expenditure (current USD),MS.MIL.XPND.CD,84290061.92
Turkmenistan,TKM,Military expenditure (current USD),MS.MIL.XPND.CD,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Military expenditure (current USD),MS.MIL.XPND.CD,60611977783
Timor-Leste,TLS,Military expenditure (current USD),MS.MIL.XPND.CD,34400000
Middle East & North Africa (IDA & IBRD countries),TMN,Military expenditure (current USD),MS.MIL.XPND.CD,43450156866
Tonga,TON,Military expenditure (current USD),MS.MIL.XPND.CD,
South Asia (IDA & IBRD),TSA,Military expenditure (current USD),MS.MIL.XPND.CD,88560043184
Sub-Saharan Africa (IDA & IBRD countries),TSS,Military expenditure (current USD),MS.MIL.XPND.CD,17891649717
Trinidad and Tobago,TTO,Military expenditure (current USD),MS.MIL.XPND.CD,172525849.3
Tunisia,TUN,Military expenditure (current USD),MS.MIL.XPND.CD,1000922131
Turkey,TUR,Military expenditure (current USD),MS.MIL.XPND.CD,20603378497
Tuvalu,TUV,Military expenditure (current USD),MS.MIL.XPND.CD,
Tanzania,TZA,Military expenditure (current USD),MS.MIL.XPND.CD,618943445.6
Uganda,UGA,Military expenditure (current USD),MS.MIL.XPND.CD,647606606.9
Ukraine,UKR,Military expenditure (current USD),MS.MIL.XPND.CD,5419138048
Upper middle income,UMC,Military expenditure (current USD),MS.MIL.XPND.CD,4.21E+11
Uruguay,URY,Military expenditure (current USD),MS.MIL.XPND.CD,1154916149
United States,USA,Military expenditure (current USD),MS.MIL.XPND.CD,7.34E+11
Uzbekistan,UZB,Military expenditure (current USD),MS.MIL.XPND.CD,
St. Vincent and the Grenadines,VCT,Military expenditure (current USD),MS.MIL.XPND.CD,
"Venezuela, RB",VEN,Military expenditure (current USD),MS.MIL.XPND.CD,
British Virgin Islands,VGB,Military expenditure (current USD),MS.MIL.XPND.CD,
Virgin Islands (U.S.),VIR,Military expenditure (current USD),MS.MIL.XPND.CD,
Vietnam,VNM,Military expenditure (current USD),MS.MIL.XPND.CD,
Vanuatu,VUT,Military expenditure (current USD),MS.MIL.XPND.CD,
World,WLD,Military expenditure (current USD),MS.MIL.XPND.CD,1.86E+12
Samoa,WSM,Military expenditure (current USD),MS.MIL.XPND.CD,
Kosovo,XKX,Military expenditure (current USD),MS.MIL.XPND.CD,65705329.15
"Yemen, Rep.",YEM,Military expenditure (current USD),MS.MIL.XPND.CD,
South Africa,ZAF,Military expenditure (current USD),MS.MIL.XPND.CD,3435736037
Zambia,ZMB,Military expenditure (current USD),MS.MIL.XPND.CD,292072462.6
Zimbabwe,ZWE,Military expenditure (current USD),MS.MIL.XPND.CD,546939000
